name,latitude,longitude,type
Darrul Hudda,10.565190,7.478374,school
Moini,10.542323,7.440071,school
Public School (Black and White),10.545850,7.444275,school
Sacre Heart,10.510874,7.441281,school
Laila Dogon Yaro,10.536475,7.434155,school
Turkish International School,10.538195,7.465409,school
girls technical college,5.123737,7.384547,school
Mercy Girls college,5.120179,7.383657,school
Ungwan Yelwa Primary School,10.448483,7.436430,school
,9.024728,7.457384,school
ASCL PRIMARY SCHOOL II,7.558963,6.637409,school
crown polytechnic,7.613194,5.130036,school
cac secondary school,7.616536,5.190465,school
baptist secondary school,7.615077,5.193308,school
"SCIENCE PROJECT PRI and SEC SCHOOL, UNGUWA UKU",11.957721,8.562055,school
KUNDILA PRIMARY SCHOOL KUNDILA,11.965125,8.555606,school
GOVT SEC SCH KUNDILA,11.965058,8.556239,school
LIVING STONE SCHOOL,11.961717,8.536444,school
"Babban Giji Secondary School, Karkasara",11.958514,8.544745,school
HOTORO MARADI SPECIAL PRIMARY SCHOOL,11.960267,8.579655,school
SCIENCE SECONDARY SCHOOL,11.946445,8.567444,school
"INTERCONTINENTAL SCHOOLS, SEC",11.978936,8.553712,school
"INTERCONTINENTAL SCHOOLS, PRIMARY",11.978937,8.553311,school
"GYADI GYADI, GIRLS SECONDARY SCHOOL",11.967894,8.544810,school
GYADI GYADI SPECIAL PRIMARY SCHOOL,11.968397,8.545984,school
,11.767644,8.426157,school
RAE Creche,6.553094,3.324123,school
OGISO PRY SCH,6.293052,5.564972,school
,5.720690,6.861648,school
Chosen Secondary SchoolMgbi,5.720800,6.861586,school
Uwhie Ladies Vanguard Primary School,5.554958,5.765723,school
Excel Montissori School,5.550609,5.775656,school
Crystolite School,5.551185,5.776047,school
Edgeba Estate School,5.538113,5.733645,school
State School of Nursing,5.534864,5.742567,school
College of Education,5.541829,5.743602,school
"State School,  Eyabugbe Primary School",5.541687,5.762394,school
St. Anthony Group of School,5.540726,5.761042,school
St. Philomena School,5.551549,5.777465,school
Perfect Kiddies,5.548141,5.775988,school
Ugboroke Primary School,5.544528,5.745744,school
Ochuks Academy,5.539362,5.762130,school
Royal Heritage School,5.544014,5.778643,school
Alden Schools,5.540190,5.779810,school
Glorious Excellence School,5.551130,5.773200,school
Brightfield Intl. Group of school,5.562904,5.756420,school
Crestview School,5.570334,5.744984,school
Vibrant Child Nursery and primary School,4.888250,7.129835,school
Jeddo Primary School,5.592521,5.705625,school
Cranefield International School,5.599587,5.696679,school
Christ d King School,5.558670,5.774489,school
Rhema Champion School,5.554441,5.774076,school
Star of David Intl. School,5.554798,5.770126,school
Enhance Academy,5.560425,5.770658,school
Edulyn  School,5.564473,5.754772,school
State School Okugbe Primary School,5.562137,5.744535,school
Precious Seeds Academy,5.561513,5.771892,school
Grace Fountain School,5.561183,5.772842,school
Desan School,5.557732,5.764135,school
Great Treasure Gold High School,5.558104,5.763682,school
Fantasy Junior School,5.559026,5.764274,school
Cradlelight School,5.558268,5.760306,school
Pinnacle of Excellence School,5.559992,5.764480,school
Kris-Elly Intl. School,5.559663,5.762178,school
God's Favour School,5.560254,5.759142,school
Corona International School,5.564337,5.766456,school
Standard High School,5.564809,5.761743,school
Spring Hill School,5.562516,5.757898,school
Isusu Primary school,5.158480,6.489035,school
Joinkramer Grammer School,5.143934,6.496419,school
Joinkramer Girls Secondary School,5.170355,6.495724,school
Tare PET Montessoy Group of Schools,4.927953,6.309840,school
Basic Junior Secondary School,4.953172,6.343423,school
Aso Treasures Standard High School,4.929856,6.306613,school
Kpansia  Secondary School,4.930768,6.305329,school
Holy Child Intl Modern School,4.931929,6.309683,school
Nadam Intl Academy,4.926572,6.316489,school
Mirror of Justice  School,5.557222,5.762836,school
Picfleur Montessori and High School,5.567079,5.777441,school
Community Primary School,4.953176,6.355146,school
Funakpo Academy,4.952167,6.348795,school
Almina Montessori School,4.952826,6.348720,school
FINAPS,4.950919,6.345648,school
Bright Pearls School,4.950539,6.344815,school
Ebibotel Group of Schools,4.947740,6.341161,school
Gina Montessori Academy,4.946205,6.342976,school
Hope of Glory Academy,4.946848,6.333738,school
Glorious Child primary School,4.945137,6.333740,school
Community Primary School,4.944036,6.333858,school
Community Sec. School,5.089883,6.473206,school
Premap Intl. Montessori School,4.949082,6.347548,school
Model Primary School,4.942786,6.325139,school
Ayakpo Nursery and Primary School,4.940320,6.326578,school
Funlyafa School,4.938638,6.326670,school
Seimeigha Intl. Academy,4.937603,6.325410,school
Larger Than Dev. Foundation,4.937023,6.322478,school
"Praiser""s Intl. Academy",4.930737,6.322566,school
Love Pat Academy,5.554119,5.781786,school
Esedo Primary School  III,5.552070,5.782316,school
Altest International School,5.593170,5.709074,school
Regent International School,5.591250,5.708141,school
Edel Montessori School,5.592877,5.707808,school
St. Luke's School,5.547315,5.770961,school
Kidscomputer Academy,5.546548,5.771235,school
"St. Paul's Nursery and Primary School, Warri City",5.507914,5.762872,school
Life Spring Model School,5.542097,5.784418,school
Nile Nus and Pri Montessori School,5.543725,5.781905,school
Light Life Group of Schools,5.543320,5.781631,school
Staford House Nursery and Primary School,5.545029,5.781928,school
Graceville Nus and primary School,5.554277,5.777185,school
Perpetual Nursery and Primary School,5.559831,5.776825,school
Rutero Model School,5.593268,5.707021,school
Ori,5.555273,6.343443,school
Madonna Model School,5.543321,5.738285,school
Great Grace,5.543472,5.737891,school
Luther Academy,5.564800,5.772251,school
Reigners Academy,5.565581,5.772329,school
Nobel Stride Schools,5.562425,5.773461,school
Matthias Intl. Academy,5.584889,5.711977,school
Unique Intl. School,5.565890,5.774279,school
Christ the King Schools,5.563181,5.772899,school
Aunty Gold's Christian Academy,5.566289,5.772471,school
Maryland Intl. School,5.566377,5.777662,school
Rojoe Academy,5.567747,5.772916,school
Maxim Schools,5.563093,5.775274,school
Highhills,5.548279,5.774637,school
Maranatta Schools,5.544204,5.770980,school
Brainville Intl. School,5.539984,5.771850,school
Divine Grace Schools,5.539855,5.772666,school
Brianville Intl. School,5.539146,5.772496,school
Children Foundation Nur and Pri School,5.540775,5.770412,school
