name,latitude,longitude,type
"Great Treasure Gold High School","5.5581038","5.7636822","school"
"Fantasy Junior School","5.5590259","5.7642740","school"
"Cradlelight School","5.5582682","5.7603059","school"
"Pinnacle of Excellence School","5.5599919","5.7644801","school"
"Kris-Elly Intl. School","5.5596632","5.7621779","school"
"God's Favour School","5.5602544","5.7591416","school"
"Corona International School","5.5643374","5.7664557","school"
"Standard High School","5.5648089","5.7617431","school"
"Spring Hill School","5.5625164","5.7578984","school"
"Isusu Primary school","5.1584800","6.4890352","school"
"Joinkramer Grammer School","5.1439344","6.4964192","school"
"Joinkramer Girls Secondary School","5.1703546","6.4957237","school"
"Tare PET Montessoy Group of Schools","4.9279534","6.3098397","school"
"Basic Junior Secondary School","4.9531724","6.3434230","school"
"Aso Treasures Standard High School","4.9298562","6.3066133","school"
"Kpansia  Secondary School","4.9307681","6.3053293","school"
"Holy Child Intl Modern School","4.9319291","6.3096827","school"
"Nadam Intl Academy","4.9265719","6.3164890","school"
"Mirror of Justice  School","5.5572220","5.7628363","school"
"Picfleur Montessori and High School","5.5670792","5.7774406","school"
"Community Primary School","4.9531758","6.3551458","school"
"Funakpo Academy","4.9521668","6.3487945","school"
"Almina Montessori School","4.9528259","6.3487203","school"
"FINAPS","4.9509186","6.3456479","school"
"Bright Pearls School","4.9505385","6.3448146","school"
"Ebibotel Group of Schools","4.9477402","6.3411609","school"
"Gina Montessori Academy","4.9462055","6.3429763","school"
"Hope of Glory Academy","4.9468482","6.3337384","school"
"Glorious Child primary School","4.9451374","6.3337398","school"
"Community Primary School","4.9440358","6.3338577","school"
"Community Sec. School","5.0898826","6.4732062","school"
"Premap Intl. Montessori School","4.9490817","6.3475478","school"
"Model Primary School","4.9427856","6.3251389","school"
"Ayakpo Nursery and Primary School","4.9403201","6.3265777","school"
"Funlyafa School","4.9386382","6.3266697","school"
"Seimeigha Intl. Academy","4.9376030","6.3254095","school"
"Larger Than Dev. Foundation","4.9370226","6.3224781","school"
"Praiser""s Intl. Academy","4.9307372","6.3225658","school"
"Love Pat Academy","5.5541194","5.7817857","school"
"Esedo Primary School  III","5.5520698","5.7823161","school"
"Altest International School","5.5931699","5.7090745","school"
"Regent International School","5.5912504","5.7081415","school"
"Edel Montessori School","5.5928772","5.7078077","school"
"St. Luke's School","5.5473150","5.7709614","school"
"Kidscomputer Academy","5.5465480","5.7712350","school"
"St. Paul's Nursery and Primary School, Warri City","5.5079143","5.7628722","school"
"Life Spring Model School","5.5420965","5.7844177","school"
"Nile Nus and Pri Montessori School","5.5437255","5.7819053","school"
"Light Life Group of Schools","5.5433201","5.7816310","school"
